Date,Description,Category,Type,Amount
2024-01-05,"Monthly Salary",Salary,income,85000
2024-01-08,"Rent Payment",Housing,expense,22000
2024-01-12,"Grocery Shopping",Food & Dining,expense,4200
2024-01-18,"Electricity Bill",Utilities,expense,1800
2024-01-22,"Freelance Project",Freelance,income,15000
2024-01-25,"Dinner Out",Food & Dining,expense,1200
2024-01-28,"Bus Pass",Transport,expense,900
2024-02-01,"Monthly Salary",Salary,income,85000
2024-02-05,"Gym Membership",Healthcare,expense,1500
2024-02-10,"Clothes Shopping",Shopping,expense,3800
2024-02-14,"Movie Night",Entertainment,expense,650
2024-02-18,"Rent Payment",Housing,expense,22000
2024-02-22,"Stock Dividend",Investment,income,3200
2024-02-25,"Grocery Shopping",Food & Dining,expense,3900
2024-02-28,"Mobile Bill",Utilities,expense,799
2024-03-01,"Monthly Salary",Salary,income,85000
2024-03-05,"Doctor Visit",Healthcare,expense,2200
2024-03-10,"Freelance Project",Freelance,income,22000
2024-03-15,"Rent Payment",Housing,expense,22000
2024-03-18,"Books & Learning",Entertainment,expense,1400
2024-03-22,"Petrol",Transport,expense,2100
2024-03-26,"Restaurant Dinner",Food & Dining,expense,2800
2024-04-01,"Monthly Salary",Salary,income,85000
2024-04-06,"Rent Payment",Housing,expense,22000
2024-04-12,"New Shoes",Shopping,expense,4500
2024-04-16,"Grocery Shopping",Food & Dining,expense,4100
2024-04-20,"Concert Tickets",Entertainment,expense,2200
2024-04-25,"Freelance Project",Freelance,income,18000
2024-05-01,"Monthly Salary",Salary,income,85000
2024-05-04,"Internet Bill",Utilities,expense,1200
2024-05-08,"Rent Payment",Housing,expense,22000
2024-05-14,"Grocery Shopping",Food & Dining,expense,3600
2024-05-18,"Cab Rides",Transport,expense,1800
2024-05-22,"Investment Return",Investment,income,5500
2024-05-28,"Pharmacy",Healthcare,expense,980
2024-06-01,"Monthly Salary",Salary,income,85000
2024-06-05,"Rent Payment",Housing,expense,22000
2024-06-10,"Grocery Shopping",Food & Dining,expense,4400
2024-06-15,"Freelance Project",Freelance,income,25000
2024-06-20,"Air Conditioner Repair",Housing,expense,3500
2024-06-25,"Weekend Trip",Entertainment,expense,8500
2024-06-28,"Electricity Bill",Utilities,expense,2200